id	язык	ситуация	выражение	глосса	переводной эквивалент	есть пример?	Пример	стратегия	тип корня	тип сателлита	что кодирует сателлит	редупликация	колексификации	совпадения корней	переходность	тип конструкции
163	кева	ШЕВЕЛИТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
164	кева	НАКЛОНЯТЬСЯ	pataba 	bend	‘be bent over, lie down’	+	‘Bend down and get it under the house.’	simple	bend	—	—	-	—	—	intr	—
165	кева	ВЫПРЯМЛЯТЬСЯ	masaa maridula-wa 	back CAUS-stretch-3SG	—	+	‘и она тотчас выпрямилась’	construction	stretch	back2	Участник	-	—	—	intr	разложимая
166	индонезийский	МАХАТЬ	awai 	wave	‘to wave (the hand)’	-	—	simple	wave	—	—	-	—	—	intr	—
167	индонезийский	МАХАТЬ	meng-ulap	MED-wave	‘to wave, beckon with the hand’	-	—	grammatical	wave	MED	АП	-	—	—	intr	—
168	индонезийский	КАЧАТЬСЯ	ber-ayun~ayun 	MED-swing~RED	‘to rock, swing, sway, go up and down’	-	—	grammatical	swing	MED	АП	+	—	—	intr	—
169	индонезийский	КАЧАТЬСЯ	ber-buai	MED-swing	to swing, sway	-	—	grammatical	swing	MED	АП	-	—	—	intr	—
170	индонезийский	КАЧАТЬСЯ	gundal	swing	‘to swing back and forth, dangle, hang down and sway’	-	—	simple	swing	—	—	-	—	—	intr	—
171	индонезийский	КРУЖИТЬСЯ	ber-kisar 	MED-spin	‘to spin, rotate, turn, revolve’	-	—	grammatical	spin	MED	АП	-	—	—	intr	—
172	индонезийский	ПЕРЕВОРАЧИВАТЬСЯ	ber-balik 	MED-turn	‘to turn over/upside down’	-	—	grammatical	turn	MED	АП	-	172-173	—	intr	—
173	индонезийский	ПОВОРАЧИВАТЬСЯ	ber-balik 	MED-turn	‘to turn over/upside down’	+	‘He turned around to look at his wife.’	grammatical	turn	MED	АП	-	172-173	—	intr	—
174	индонезийский	ДРОЖАТЬ	meng-gi~gil 	MED-RED~tremble	‘to shiver, tremble (from cold/fear, etc.)’	+	‘to shake with cold’	grammatical	tremble	MED	АП	+	—	—	intr	—
175	индонезийский	ШЕВЕЛИТЬСЯ	ber-gerak 	MED-move	‘to move, change position, be in motion.’	+	‘Don’t move!’	grammatical	move	MED	АП	-	—	—	intr	—
176	индонезийский	НАКЛОНЯТЬСЯ	lengkuk 	bend	‘to bend down’	-	—	simple	bend	—	—	-	—	—	intr	—
177	индонезийский	ВЫПРЯМЛЯТЬСЯ	ber-diri	MED-straighten_up	‘to stand up straight’	+	‘и она тотчас выпрямилась’ 	grammatical	straighten_up	MED	АП	-	—	—	intr	—
178	кечуа	МАХАТЬ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
179	кечуа	КАЧАТЬСЯ	warku-y kacha-ku-y 	swing-INF send-REFL-INF	‘Colgarse de uno y otro lado.’	-	—	construction	send	swing	?	-	—	—	intr	неразложимая
180	кечуа	КРУЖИТЬСЯ	muy~uy-ku-y	spin~RED-REFL-INF	‘Circular, moverse de modo continuo y uniforme volviendo siempre al punto de partida; girar sin interrupción.’	-	—	grammatical	spin	REFL	АП	+	—	—	intr	—
181	кечуа	ПЕРЕВОРАЧИВАТЬСЯ	t'ikra-ku-y	turn_over-REFL-INF	‘Voltearse, ponerse de revés alguna cosa.’	-	—	grammatical	turn_over	REFL	АП	-	—	—	intr	—
182	кечуа	ПОВОРАЧИВАТЬСЯ	kuti-ri-y	turn_around-INC-INF	‘Volverse, voltearse.’	-	—	simple	turn_around	—	—	-	—	—	intr	—
183	кечуа	ДРОЖАТЬ	khata~tata-y 	tremble~RED-INF	‘Tiritar, temblar por acción del frío u otro agente.’	-	—	simple	tremble	—	—	+	—	—	intr	—
184	кечуа	ШЕВЕЛИТЬСЯ	kuyu-y	move-INF	‘Cambiar de posición o ubicación sin desplazarse.’	-	—	simple	move	—	—	-	—	—	intr	—
185	кечуа	НАКЛОНЯТЬСЯ	ullpuy-ku-y	bend-REFL-INF	‘Postrarse, inclinarse en señal de sumisión, de adoración o pleitesía.’	-	—	grammatical	bend	REFL	АП	-	—	—	intr	—
186	кечуа	ВЫПРЯМЛЯТЬСЯ	saya-ri-y	straighten_up-INC-INF	—	+	‘и она тотчас выпрямилась’ 	simple	straighten_up	—	—	-	—	—	intr	—
187	коптский	МАХАТЬ	kʲla 	wave	wave'	-	—	simple	wave	cast	—	-	—	187-188-189	intr	—
188	коптский	КАЧАТЬСЯ	ti kʲla 	give wave	swing	-	—	construction	wave	give	?	-	—	187-188-189	intr	неразложимая
189	коптский	КАЧАТЬСЯ	hi kʲla 	cast wave	swing	-	—	construction	wave	cast	?	-	—	187-188-189	intr	неразложимая
190	коптский	КРУЖИТЬСЯ	kôte 	spin	—	-	‘Кружится, кружится на ходу своём, и возвращается ветер на круги свои’	simple	spin	—	—	-	—	190-192	intr	—
191	коптский	ПЕРЕВОРАЧИВАТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
192	коптский	ПОВОРАЧИВАТЬСЯ	kôte e=pahu	spin to=back	—	+	‘Иордан обратился назад’. 	grammatical	spin	aback	Траектория	-	—	190-192	intr	—
193	коптский	ДРОЖАТЬ	stôt 	tremble	‘tremble’	+	‘[Он потребовал огня, вбежал в темницу] и в трепете припал к Павлу и Силе’.	simple	tremble	—	—	-	—	—	intr	—
194	коптский	ШЕВЕЛИТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
195	коптский	НАКЛОНЯТЬСЯ	ôlk epesêt	become_bent downwards	‘bend down’	-	—	grammatical	bend	downwards	Траектория	-	—	—	intr	—
196	коптский	ВЫПРЯМЛЯТЬСЯ	tôun 	straighten_up	‘arise’	-	‘и она тотчас выпрямилась’ 	simple	straighten_up	—	—	-	—	—	intr	—
197	лакота	МАХАТЬ	napé-kozA 	hand-wave	‘to wave one's hand, signal with one's hand (as a sign of invitation)’	-	—	construction	swing	hand	Участник	-	—	197-198	intr	разложимая
198	лакота	КАЧАТЬСЯ	o-ká-kozA	RESTR-WIND-wave	‘to dangle by inner force or by the action of wind, swing, sway back and forth’	+	‘A garter snake was dangling in front of his face’	grammatical	swing	RESTR; WIND	Местоположение, Сила	-	—	197-198	intr	—
199	лакота	КРУЖИТЬСЯ	na-hómni 	OWN-turn	‘it turns around of its own accord or by inner force, it spins’	+	‘The wheel is spinning.’	grammatical	turn	OWN	Сила	-	—	199-201	intr	—
200	лакота	ПЕРЕВОРАЧИВАТЬСЯ	ik-pá-ptaŋ	REFL-PUSH-turn_over	to turn over in bed, to roll over	+	‘He rolled over in his sleep.’	grammatical	turn_over	REFL; PUSH	АП, Траектория	-	—	—	intr	—
201	лакота	ПОВОРАЧИВАТЬСЯ	igl-ú-homni	REFL-PULL-turn-PLAC	‘to turn oneself around, to convert (as to a different religion)’	+	‘All the spectators turned around and looked at him instead’	grammatical	turn	REFL; PULL	АП, Траектория	-	—	199-201	intr	—
202	лакота	ДРОЖАТЬ	čhaŋ~čháŋ 	tremble~RED	‘to shake, quiver, tremble, shiver (as with fear or cold)’	+	‘He was cold and trembled.’	simple	tremble	—	—	+	—	—	intr	—
203	лакота	ШЕВЕЛИТЬСЯ	škíŋ-čiyA	move-REFL	‘stir or move oneself, bestir oneself’	-	—	grammatical	move	REFL	АП	-	—	—	intr	—
204	лакота	НАКЛОНЯТЬСЯ	pa-thúš 	PUSH-bend	‘bending down or forward, stoop, bow’	+	‘He stooped down and with his hand he wrote it in the sand.’	grammatical	bend	PUSH	Траектория	-	—	—	intr	—
205	лакота	ВЫПРЯМЛЯТЬСЯ	igl-ú-owotȟaŋ	REFL-PULL-straighten_up	 ‘to straighten oneself up, stand straight, to make oneself upright or righteous, to straighten or improve one's own affairs’	-	—	grammatical	straighten_up	PULL	Траектория	-	—	—	intr	—
206	нама	МАХАТЬ	ǁnàpő-táwèdȅ 	wave-greet	‘wave to s.o.’	-	—	construction	wave	greet	?	-	—	—	intr	неразложимая
207	нама	КАЧАТЬСЯ	ǀna̋pé	swing	‘dangle, swing’	-	—	simple	swing	—	—	-	—	—	intr	—
208	нама	КРУЖИТЬСЯ	ǂnȁmípe̋ǃgàpű	spin	‘rotate, turn, revolve, spin, whirl’	-	—	simple	spin	—	—	-	—	—	intr	—
209	нама	ПЕРЕВОРАЧИВАТЬСЯ	dȁwà-sèn 	turn_over-REFL	‘turn o.s. over (in bed)’	-	—	grammatical	turn_over	REFL	АП	-	—	—	intr	—
210	нама	ПОВОРАЧИВАТЬСЯ	ǁnùmi̋-sèn 	turn_around-REFL	‘turn around, make left / right turn’	-	—	grammatical	turn_around	REFL	АП	-	—	—	intr	—
211	нама	ДРОЖАТЬ	ǀkhùű 	tremble	‘tremble (esp. bec. of fear); shiver (esp. bec. of cold)’	-	—	simple	tremble	—	—	-	—	—	intr	—
212	нама	ШЕВЕЛИТЬСЯ	gòǹ 	move	‘move, stir’	-	—	simple	move	—	—	-	—	—	intr	—
213	нама	НАКЛОНЯТЬСЯ	ǃgám̀-sèn 	bend-REFL	‘bend over, stoop’	-	—	grammatical	bend	REFL	АП	-	—	—	intr	—
214	нама	ВЫПРЯМЛЯТЬСЯ	ǁkhawa ǂhanu 	stand_up straight	‘straighten up, arise’	+	‘и она тотчас выпрямилась’ 	construction	stand_up	straight	Конечная точка	-	—	—	intr	разложимая
215	нен	МАХАТЬ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
216	нен	КАЧАТЬСЯ	ä-pneng-s 	MED-swing-INF	 ‘swing, be swinging / swing, take a swing or punch’	+	‘The handle of the bag is swinging.’	grammatical	swing	MED	АП	-	—	—	intr	—
217	нен	КРУЖИТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
218	нен	ПЕРЕВОРАЧИВАТЬСЯ	ä-gärng̅-s	MED-turn_over-INF	‘turn over (intransitive), turn oneself over or around’	+	‘The baby has turned over.’	grammatical	turn_over	MED	АП	-	—	—	intr	—
219	нен	ПОВОРАЧИВАТЬСЯ	ä-gӓrng-s 	MED-turn_around-INF	‘turn around (itr.)’	+	I'm turning around.	grammatical	turn_around	MED	АП	-	—	—	intr	—
220	нен	ДРОЖАТЬ	e-gmnӓng-s	MED-tremble-INF	‘shake (itr.) / bob up and down’	+	‘I'm shaking.’	grammatical	tremble	MED	АП	-	—	—	intr	—
221	нен	ШЕВЕЛИТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
222	нен	НАКЛОНЯТЬСЯ	e-wepn-s	MED-bend-INF	‘bend down, bend over’	+	‘Bend down!’ ‘OK, I Will bend down.’	grammatical	bend	MED	АП	-	—	—	intr	—
223	нен	ВЫПРЯМЛЯТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
224	турецкий	МАХАТЬ	el salla-mak	hand swing-INF	‘махать кому-либо рукой’	-	—	construction	swing	hand	Участник	-	—	224-225	intr	разложимая
225	турецкий	КАЧАТЬСЯ	salla-n-mak 	swing-REFL-INF	‘качаться в разн. знач.’	-	—	grammatical	swing	REFL	АП	-	—	224-225	intr	—
226	турецкий	КРУЖИТЬСЯ	dön-mek	turn-INF	‘крутиться, вращаться, вертеться’	-	—	simple	turn	—	—	-	226-227-228	—	intr	—
227	турецкий	ПЕРЕВОРАЧИВАТЬСЯ	dön-mek	turn-INF	‘перевёртываться, перевернуться’	+	‘перевертываться с боку на бок’	simple	turn	—	—	-	226-227-228	—	intr	—
228	турецкий	ПОВОРАЧИВАТЬСЯ	dön-mek	turn-INF	‘повёртываться, повернуться’	+	‘он повернулся ко мне [лицом]’	simple	turn	—	—	-	226-227-228	—	intr	—
229	турецкий	ДРОЖАТЬ	titre-mek	tremble-INF	‘дрожать’	+	‘дрожать от страха’	simple	tremble	—	—	-	—	—	intr	—
230	турецкий	ШЕВЕЛИТЬСЯ	kıpırda-mak	move-INF	‘шевелиться’	+	‘Не шевелись!’	simple	move	—	—	-	—	—	intr	—
231	турецкий	НАКЛОНЯТЬСЯ	eğil-mek 	bend-INF	‘наклоняться, наклониться’	+	‘Тебе нужно просто нагнуться’.	simple	bend	—	—	-	—	—	intr	—
232	турецкий	ВЫПРЯМЛЯТЬСЯ	doğrul-mak	straighten_up-INF	‘выпрямляться, выпрямиться’	+	‘и она тотчас выпрямилась’ 	simple	straighten_up	—	—	-	—	—	intr	—
233	суахили	МАХАТЬ	tikisi-ka	wave-MED	‘wave’	-	—	grammatical	wave	MED	АП	-	—	—	intr	—
234	суахили	КАЧАТЬСЯ	bembea  	swing	‘swing, rock, oscillate’	-	—	simple	swing	—	—	-	—	—	intr	—
235	суахили	КРУЖИТЬСЯ	zungu-ka	spin-MED	‘go round, surround, revolve; rotate’	+	‘Земля вращается вокруг солнца’.	grammatical	spin	MED	АП	-	—	—	intr	—
236	суахили	ПЕРЕВОРАЧИВАТЬСЯ	pindu-ka 	turn_over-MED	‘overturn, turn over, flip over’	-	—	grammatical	turn_over	MED	АП	-	—	—	intr	—
237	суахили	ПОВОРАЧИВАТЬСЯ	geu-ka	turn_around-MED	‘turn, turn around’	-	—	grammatical	turn_around	MED	АП	-	—	—	intr	—
238	суахили	ДРОЖАТЬ	teteme-ka	tremble-MED	‘tremble, shake, vibrate, quake, quiver, shiver, palpitate’	-	—	grammatical	tremble	MED	АП	-	—	—	intr	—
239	суахили	ШЕВЕЛИТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	intr	—
240	суахили	НАКЛОНЯТЬСЯ	sinua 	bend	‘bend over, tilt’	-	—	simple	bend	—	—	-	—	—	intr	—
241	суахили	ВЫПРЯМЛЯТЬСЯ	simama wima 	stand_up upright	 ‘stand upright.’	+	и она тотчас выпрямилась и начала славить Бога.	construction	stand_up	straight	Конечная точка	-	—	—	intr	разложимая
242	ток-писин	МАХАТЬ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
243	ток-писин	КАЧАТЬСЯ	wawan	swing	sway	-	—	simple	swing	—	—	-	—	—	intr	—
244	ток-писин	КРУЖИТЬСЯ	raun 	spin	‘spin’	-	—	simple	spin	—	—	-	—	—	intr	—
245	ток-писин	ПЕРЕВОРАЧИВАТЬСЯ	ova 	turn_over	‘turn over’	-	—	simple	turn_over	—	—	-	—	—	intr	—
246	ток-писин	ПОВОРАЧИВАТЬСЯ	tanim 	turn_around	‘to turn around’	+	‘It started raining heavily so they turned around and came back.’	simple	turn_around	—	—	-	—	—	intr	—
247	ток-писин	ДРОЖАТЬ	guria 	tremble	‘to tremble’	+	‘The sight of a spirit made him quake.’	simple	tremble	—	—	-	—	—	intr	—
248	ток-писин	ШЕВЕЛИТЬСЯ	surik 	move	to move'	+	‘She didn’t move.’	simple	move	—	—	-	—	—	intr	—
249	ток-писин	НАКЛОНЯТЬСЯ	brukim bek	bend back	‘to bend down’	-	—	construction	bend	back2	Участник	-	—	—	intr	разложимая
250	ток-писин	ВЫПРЯМЛЯТЬСЯ	sanap stret	stand_up straight	‘stand erect’	+	и она тотчас выпрямилась	construction	stand_up	straight	Конечная точка	-	—	—	intr	разложимая
251	чероки	МАХАТЬ	a-solvdagia 	3SG-wave:PRC	‘he's waving his hand’	+	‘When his friend passed by, he waved to him.’	simple	wave	—	—	-	—	—	intr	—
252	чероки	КАЧАТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
253	чероки	КРУЖИТЬСЯ	ad-igwalvdeyoha 	3SG:MED-spin:PRC	‘he’s spinning’	+	‘The wheel is spinning too fast to stop.	grammatical	spin	MED	АП	-	—	—	intr	—
254	чероки	ПЕРЕВОРАЧИВАТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
255	чероки	ПОВОРАЧИВАТЬСЯ	a-ktahva 	3SG-turn_around:PRC	‘he’s turning around’	+	‘When he heard someone calling him, he turned around.’	simple	turn_around	—	—	-	—	—	intr	—
256	чероки	ДРОЖАТЬ	u-wanawia	3SG-tremble:PRC	‘he's shivering’	+	‘She's shivering because she's cold.’	simple	tremble	—	—	-	—	—	intr	—
257	чероки	ШЕВЕЛИТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
258	чероки	НАКЛОНЯТЬСЯ	at-liyvquidvsga 	—	‘he’s bending’	-	—	grammatical	bend	MED	АП	-	—	—	intr	—
259	чероки	ВЫПРЯМЛЯТЬСЯ	gachinosdv ni-ga-lsdi	straight PRT-3-become:PRC	—	+	‘и она тотчас выпрямилась и стала славить Бога.’ 	construction	become	straight	Конечная точка	-	—	—	intr	разложимая
260	юрок	МАХАТЬ	hool-oote-k’ 	wave-CL-1SG	‘I wave’	+	‘She waves her hand.’	simple	wave	—	—	-	—	—	intr	—
261	юрок	КАЧАТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
262	юрок	КРУЖИТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
263	юрок	ПЕРЕВОРАЧИВАТЬСЯ	kelom-oh 	turn-MED	‘turn over’	-	—	grammatical	turn	ROUND	Траектория	-	—	263-264	intr	—
264	юрок	ПОВОРАЧИВАТЬСЯ	kelom-ech-oo-k’ 	turn-MOVE-CL-1SG	‘I turn around’	+	‘He is turning around’	grammatical	turn	MOVE	Движение	-	—	263-264	intr	—
265	юрок	ДРОЖАТЬ	test-oo-k’ 	tremble-CL-1SG	‘I shake, I tremble, I shiver’	+	‘I'm shaking because I'm cold.’	simple	tremble	—	—	-	—	—	intr	—
266	юрок	ШЕВЕЛИТЬСЯ	pahchew 	move	‘to move one’s body’	+	‘Then the old man said, Stop! and it seemed that it did not move.’	simple	move	—	—	-	—	—	intr	—
267	юрок	НАКЛОНЯТЬСЯ	chper'erye-k'	bend-1SG	‘I bend over, I stoop’	-	—	simple	bend	—	—	-	—	—	intr	—
268	юрок	ВЫПРЯМЛЯТЬСЯ	chew-on-eme-k' 	straighten_up-MED-CL-1SG	‘I straighten’	-	—	grammatical	straighten_up	MED	АП	-	—	—	intr	—
269	науатль	МАХАТЬ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
270	науатль	КАЧАТЬСЯ	mo-topehua 	REFL-swing	‘mecerse, columpiarse’	-	—	grammatical	swing	MED	АП	-	—	—	intr	—
271	науатль	КРУЖИТЬСЯ	mo-mallacachoa 	REFL-spin	‘revolve / dar vueltas o girar alrededor de algo’	+	‘as though it were a wheel in its manner of going returning upon itself and revolving’	grammatical	spin	MED	АП	-	—	—	intr	—
272	науатль	ПЕРЕВОРАЧИВАТЬСЯ	mo-quepa 	REFL-turn_over	‘voltearse, darse vuelta’	-	—	grammatical	turn_over	MED	АП	-	—	—	intr	—
273	науатль	ПОВОРАЧИВАТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
274	науатль	ДРОЖАТЬ	hui~huiyoca 	RED~tremble	‘to tremble, shiver / temblar o tiritar de frío’	-	—	simple	tremble	—	—	+	—	—	intr	—
275	науатль	ШЕВЕЛИТЬСЯ	cuechinia 	move	‘to move, shake, wiggle’	-	—	simple	move	—	—	-	—	—	intr	—
276	науатль	НАКЛОНЯТЬСЯ	mo-pachoa	REFL-bend	‘agacharse, inclinarse hacia la tierra’	-	—	grammatical	bend	MED	АП	-	—	—	intr	—
277	науатль	ВЫПРЯМЛЯТЬСЯ	melac-quetza 	straighten-stand_up	‘for s.o. or an animal to straighten its body up’	-	—	construction	stand_up	straighten	?	-	—	—	intr	неразложимая
278	шипибо-конибо	МАХАТЬ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
279	шипибо-конибо	КАЧАТЬСЯ	ónitsa-ti	swing-INF	‘moverse de un lado a otro’	+	‘Мама качается, потому что у неё болит глаз.’	simple	swing	—	—	-	—	—	intr	—
280	шипибо-конибо	КРУЖИТЬСЯ	mayá-ti	spin.MED-INF	‘girar’	+	‘Хотя Земля вращается, мы этого не знаем, потому что она огромна’.	grammatical	spin	MED	АП	-	280-282	—	intr	—
281	шипибо-конибо	ПЕРЕВОРАЧИВАТЬСЯ	ranbé-ti 	turn_over.MED-INF	‘voltearse’	+	‘Моя лодка перевернулась, потому что волна наполнила её водой’.	grammatical	turn_over	MED	АП	-	—	—	intr	—
282	шипибо-конибо	ПОВОРАЧИВАТЬСЯ	mayá-ti	spin.MED-INF	‘dar la vuelta’	-	—	grammatical	spin	MED	АП	-	280-282	—	intr	—
283	шипибо-конибо	ДРОЖАТЬ	sáquii-ti 	tremble-INF	‘temblar (p. ej., de miedo o de frío)’	+	‘Я дрожу от страха’.	simple	tremble	—	—	-	—	—	intr	—
284	шипибо-конибо	ШЕВЕЛИТЬСЯ	cóshi-ti 	move-INF	‘moverse’	+	‘Он упал в обморок, но уже может шевелиться’	simple	move	—	—	-	—	—	intr	—
285	шипибо-конибо	НАКЛОНЯТЬСЯ	beó-ti	bend.MED-INF	‘agacharse’	+	‘Когда женщина наклонилась, я прошёл незамеченным.’	grammatical	bend	MED	АП	-	—	—	intr	—
286	шипибо-конибо	ВЫПРЯМЛЯТЬСЯ	ponté-ti 	straighten_up.MED-INF	‘enderezarse’	+	‘и она тотчас выпрямилась’ 	grammatical	straighten_up	MED	АП	-	—	—	intr	—
287	маньчжурский	МАХАТЬ	gala lasihi-mbi	hand wave-IPFV	‘согнувши руку зову, машу кому, подзываю рукой’	-	—	construction	wave	hand	Участник	-	—	—	intr	разложимая
288	маньчжурский	КАЧАТЬСЯ	hayarila-mbi 	swing-IPFV	‘шевелюсь, колышусь, качаюсь от вѣтру’	-	—	simple	swing	—	—	-	—	—	intr	—
289	маньчжурский	КРУЖИТЬСЯ	tori-mbi	spin-IPFV	‘кружусь, хожу кругом, таскаюсь, шатаюсь, скитаюсь без приюта’	-	—	simple	spin	—	—	-	—	—	intr	—
290	маньчжурский	ПЕРЕВОРАЧИВАТЬСЯ	šurde-mbi 	turn_over-IPFV	‘верчусь — переворачиваюсь напр. съ боку на бокъ, валяется — катается лошадь’	-	—	simple	turn	—	—	-	—	—	intr	—
291	маньчжурский	ПОВОРАЧИВАТЬСЯ	mari-mbi	turn_around-IPFV	‘ворочаюсь, оборачиваюсь назадъ, поворочиваю тѣло, голову назадъ, оглядываюсь, возвращаюсь назадъ — домой откуда, прихожу обратно’	-	—	simple	turn	—	—	-	—	—	intr	—
292	маньчжурский	ДРОЖАТЬ	tuksi-mbi 	tremble-IPFV	‘бьется, трепещетъ сердце, нли подъ пахами у лошади послѣ ѣзды, дрожу, трепещу отъ страха.’	-	—	simple	tremble	—	—	-	—	—	intr	—
293	маньчжурский	ШЕВЕЛИТЬСЯ	ašša-mbi	move-IPFV	‘двигаюсь, шевелюсь, трогаюсь с места’	-	—	simple	move	—	—	-	—	—	intr	—
294	маньчжурский	НАКЛОНЯТЬСЯ	gahu-mbi 	bend-IPFV	‘наклоняюсь вперед, нависаю’	-	—	simple	bend	—	—	-	—	—	intr	—
295	маньчжурский	ВЫПРЯМЛЯТЬСЯ	—	—	—	—	—	—	—	—	—	—	—	—	—	—
